id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
292,Early Modern,16/17,Lelki énekekről régi magyarok,http://magyar-irodalom.elte.hu/gepesk/eloszo/,yes,yes,yes,HUN,Manuscript; Print,1999,not provided,H. Hubert Gabriella,Eötvös Loránd Tudományegyetem,Scholars,yes,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,no,no,no,Keyed,no,no,yes,not provided,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D1A3-0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1501,1700,Not specified (Various),Religious Poetry,A collection of old Hungarian spiritual songs and hymns.,Song # Religion # Poetry # Music # Worship,12.0,10.0
293,Modern,1922-1957,"Szabó Lőrinc: Föld, erdő, isten; Kalibán; Fény, fény, fény; A sátán műremekei; Te meg a világ; Különbéke; Harc az ünnepért; Régen és most",http://krk.szabolorinc.hu/dokumentumok.htm,yes,yes,yes,HUN,Manuscript; Print,2011,not provided,Kabdebó Lóránt,Miskolci Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars; students; general public,yes,yes,yes,no,no,partly,yes,no,no,no,HUN,no,no,no,no,no,yes,no,no,no,no,no,yes,Keyed,no,no,no,not provided,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D1A4-F,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1922,1957,Lőrinc Szabó,Modern Hungarian Poetry,"Critical editions of several volumes of poetry by Lőrinc Szabó, a master of the sonnet and a major 20th-century translator.",Poetry # Modernism # Philosophy # Nature # City,12.0,40.0
294,Modern,1915-1916,A Tett folyóirat (The Journal „A Tett”),http://digiphil.hu/context:atett,yes,yes,yes,HUN,Print,2014,not provided,not provided,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,yes,yes,yes,no,yes,yes,no,no,no,HUN,no,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,no,no,no,not provided,21.11115/0000-000B-D1A5-E,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1915,1916,Lajos Kassák (Editor),Hungarian Avant-Garde,"A digital edition of A Tett (The Deed), the first Hungarian avant-garde journal, published by Kassák during WWI.",Journalism # Art # Politics # War # Activism,10.0,15.0
295,Modern,1888,Mikszáth Kálmán összes művei 39,http://digiphil.hu/context:mkk39,yes,yes,yes,HUN,Manuscript; Print,2015,not provided,Labádi Gergely,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,partly,partly,yes,no,no,no,no,no,no,HUN,yes,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,yes,no,no,not provided,21.11115/0000-000B-D1A6-D,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1888,1888,Kálmán Mikszáth,Hungarian Realism,"A volume of the critical edition of Mikszáth's works, likely containing short stories or journalistic pieces.",Novel # Story # Humor # Politics # Society,6.0,15.0
296,Modern,1871-1910,Mikszáth Kálmán összes művei 42,http://digiphil.hu/context:mkk42,yes,yes,yes,HUN,Print,2014,not provided,not provided,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,partly,partly,yes,no,no,no,no,no,no,HUN,yes,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,yes,no,no,not provided,21.11115/0000-000B-D1A7-C,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1871,1910,Kálmán Mikszáth,Hungarian Realism,Another volume of the critical edition of Mikszáth's works.,Novel # Journalism # Anecdote # History # Realism,6.0,18.0
297,Early Modern,1540-1840,P.S. Post Scriptum: A Digital Archive of Ordinary Writing,http://ps.clul.ul.pt/,yes,yes,yes,PRT; SPA,Letter,2014,not provided,Rita Marquilhas,Universidade de Lisboa,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,no,PRT; SPA; ENG,yes,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,partly,yes,Keyed,yes,yes,no,not provided,Portugal; Spain,European Research Council,not provided,TEITOK; TEI XML,yes,no,no,not provided,21.11115/0000-000B-D20E-9,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1540,1840,Not specified (Civilians),Early Modern History,"An archive of private letters written by ordinary people in Portugal and Spain from 1500 to 1900, often intercepted by the Inquisition.",Correspondence # Society # History # Censorship # Family,38.0,18.0
298,Long Nineteenth Century,1780-1825,Jean Paul – Sämtliche Briefe digital,https://www.jeanpaul-edition.de/,yes,yes,yes,GER,Letter; Print,2017,2018,Norbert Miller; Markus Bernauer; Frederike Neuber,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars,yes,partly,partly,yes,yes,no,no,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,yes,yes,Keyed,yes,no,no,not provided,not provided,Deutsche Forschungsgemeinschaft,not provided,exist-db,yes,no,yes,yes,21.11115/0000-000B-D254-9,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1780,1825,Jean Paul,German Romanticism,"The complete correspondence of the German writer Jean Paul, known for his humorous and digressive novels.",Correspondence # Literature # Humor # Philosophy # Network,30.0,20.0
299,Middle Ages,1180–1200,Armer Heinrich Digital,http://digi.ub.uni-heidelberg.de/ahd/,yes,yes,yes,GMH,Manuscript,2017,present,Victor Millet,Universidade de Santiago de Compostela; Heidelberg University Library,Scholars; students,yes,yes,yes,yes,yes,yes,yes,yes,no,GER,ENG,no,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,no,no,no,Heidelberg University Library,Germany; Switzerland,Ministerio de Economía y Competitividad de España,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D255-8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,,,Hartmann von Aue,Medieval German Romance,"A digital edition of the Middle High German narrative poem Der arme Heinrich, about a leper knight redeemed by a maiden's sacrifice.",Poetry # Romance # Religion # Miracle # Ethics,6.0,10.0
300,Early Modern,1607-1625,Deux visages de L'Astrée,https://astree.tufts.edu,yes,yes,yes,FRE,Book; Manuscript,2007,present,Eglal Henein,Tufts University,Scholars; students,yes,yes,yes,no,no,partly,yes,no,yes,no,FRE,yes,yes,yes,yes,no,Open Access and Open Source (all data),yes,no,no,yes,partly,yes,Keyed,yes,yes,no,Bibliothèque Nationale de France; Bibliothèque de la ville de Lyon; Bibliothèque de la ville de Marseille; Watkinson Library (Trinity college),"Paris, France",Tufts University,not provided,Dreamweaver,yes,no,no,yes,21.11115/0000-000B-D4F7-F,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1607,1625,Honoré d'Urfé,French Pastoral,"A critical edition comparing the first two parts of L'Astrée, the massive pastoral novel that influenced 17th-century French culture.",Novel # Pastoral # Love # Politics # Allegory,6.0,20.0
302,Long Nineteenth Century,1875-1914,travel!digital,https://traveldigital.acdh.oeaw.ac.at/,yes,yes,yes,GER,Printed book,2014,present,Ulrike Czeitschner,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),yes,yes,no,yes,yes,yes,OCR,yes,no,no,"Österreichische Akademie der Wissenschaften; Österreichische Nationalbibliothek; Staatliche Bibliothek Neuburg a. d. Donau, Universitätsbibliothek Basel",Germany,Austrian Academy of Sciences,not provided,ABBYY FineReader 8.0; Oxygen XML editor; TEI P5; tokenEditor; TreeTagger; STTS; SKOS; TopBraid Composer Free edition 5.1.1; corpus_shell,yes,no,no,yes,21.11115/0000-000B-D514-E,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1875,1914,Not specified (Various),Travel Literature,"A corpus of German travel guidebooks (Baedeker) and travel writings from 1875 to 1914, analyzed for linguistic patterns.",Travel # Guide # Geography # Tourism # Culture,6.0,7.0
303,Long Nineteenth Century,1818-1822,"Mächtekongresse 1818–1822. Digitale Edition der Dokumente zu den Kongressen von Aachen (1818), Troppau (1820), Laibach (1821) und Verona (1822)",https://maechtekongresse.acdh.oeaw.ac.at/,yes,yes,yes,FRA; ENG; GER,Manuscript; printed additional sources,2015,present,Karin Schneider,Austrian Academy of Sciences,Scholars; students; general public,yes,yes,yes,yes,yes,no,no,no,no,no,GER,no,yes,yes,no,yes,Open Access and Open Source (all data),yes,yes,no,no,yes,yes,Keyed,yes,no,no,Austrian State Archives,Aachen; Opava; Ljubljana; Verona,Austrian Science Fund (FWF); Austrian Academy of Sciences,not provided,dse-static-cookicutter; XSLT; Bootstrap; Python,yes,no,no,no,21.11115/0000-000B-D515-D,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1818,1822,Not specified (Diplomats),19th Century History,"A digital edition of the diplomatic documents from the Congresses of the Holy Alliance, regulating European politics after Napoleon.",Diplomacy # Politics # History # Europe # Law,44.0,25.0
304,Modern,1949-1954,Tagebücher von Andreas Okopenko. Digitale Edition,https://edition.onb.ac.at/okopenko,yes,yes,yes,GER,Diary,2015,2018,Roland Innerhofer,University of Vienna; Österreichische Nationalbibliothek,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,yes,no,no,partly,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,yes,no,Österreichische Nationalbibliothek,Österreichische Nationalbibliothek,Austrian Science Fund (FWF),not provided,GAMS; Fedora 3.x; Cirilo; XML; TEI; XSLT; CSS3; Bootstrap; Javascript,yes,https://ride.i-d-e.de/issues/issue-17/okopenko/,yes,not provided,21.11115/0000-000B-DCC5-F,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,1949,1954,Andreas Okopenko,Austrian Literature,"The diaries of the experimental Austrian writer Okopenko, covering the post-war period and the literary scene of the ""Wiener Gruppe.""",Diary # Literature # Experiment # Society # Avant-garde,30.0,20.0
305,Middle Ages,15th,Ulrich Richental die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/,yes,yes,yes,GMH,Manuscript,not provided,2019,Thomas Martin Buck,Monumenta Germaniae Historica,Scholars,yes,partly,yes,yes,yes,no,no,no,no,no,GER,yes,yes,yes,no,yes,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,no,yes,no,Kantonsbibliothek Frauenfeld; Ferdinandeum Innsbruck; Badische Landesbibliothek Karlsruhe; Rosgartenmuseum Konstanz; Stadtarchiv-Stadtbibliothek Lindau; New York Public Library; Národní Knihovna České Republiky; Stiftsbibliothek St. Gallen; Württembergische Landesbibliothek Stuttgart; Herzog August Bibliothek Wolfenbüttel; Österreichische Nationalbibliothek Wien; Stadtbibliothek Winterthur; Zentralbibliothek Zürich,"Constance, Southern Germany",DFG,not provided,Microsoft Word; Oxygen XML Editor; Python; TEI XML; XSLT; Django; ANT; HTML; PDF; LaTeX,yes,no,no,not provided,21.11115/0000-000C-4F6D-3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1401,1500,Ulrich Richental,Medieval Chronicle,"An illustrated chronicle of the Council of Constance (1414-1418), providing a vivid eyewitness account of the ecclesiastical gathering.",Chronicle # Religion # Politics # History # Art,15.0,35.0
306,Modern,20th,Franco-Hungarian literary relations in the 20th century/Les relations littéraires entre la France et la Hongrie au XXe siècle,http://frhu20.iti.btk.mta.hu/,yes,yes,yes,FRA; ENG; HUN,Manuscript,2016,present,Újvári Tüskés Anna,MTA BTK Irodalomtudományi Intézet,General public,partly,yes,yes,no,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,no,no,Petőfi Irodalmi Múzeum; MTA KIK Kézirattár; MTA BTK Irodalomtudományi Intézet Archívum; Fejtő Ferenc Könyvtár (Fehérvárcsurgó); Országos Széchényi Könyvtár; Illyés Gyula írói hagyaték magángyűjteményben; Bajomi Lázár Endre írói hagyaték magángyűjteményben,Hungary,Hungarian Government,not provided,XML; Processwire; Bootstrap,yes,no,no,not provided,21.11115/0000-000C-4F6E-2,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,1901,2000,Not specified (Various),Literary History,A digital collection of documents tracing the reception and interaction between French and Hungarian literature in the 20th century.,Literature # Translation # Reception # Network # History,38.0,30.0
307,Long Nineteenth Century; Modern,1905-1931,Schnitzler Critical Digital Edition,https://www.arthur-schnitzler.de/edition/genetisch,yes,yes,yes,GER,Manuscript,2015,present,Andrew Webber,University of Cambridge; Bergische Universität Wuppertal,Scholars,yes,yes,yes,yes,no,yes,yes,yes,yes,no,GER,yes,yes,yes,yes,no,Open Access and Open Source (all data),no,no,no,no,yes,yes,OCR,yes,yes,no,Cambridge University Library,Cambridge University Library,MHRA,not provided,fud; Transcribo,yes,no,no,yes,21.11115/0000-000C-9149-E,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,1905,1931,Arthur Schnitzler,Viennese Modernism,"A genetic critical edition of Schnitzler's works, starting with Lieutenant Gustl and Anatol, showing the development of the texts.",Drama # Novel # Psychology # Manuscript # Genesis,35.0,32.0
308,Early Modern,1730-1788,Johann Georg Hamann: Kommentierte Briefausgabe,https://www.hamann-ausgabe.de,yes,yes,yes,GER,Manuscript,2015,present,Janina Reibold,Germanistisches Seminar Universität Heidelberg; Theodor Springmann Stiftung,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,GER,yes,yes,yes,yes,no,Open Access and Open Source (some data),yes,no,no,yes,no,yes,OCR,no,yes,no,Various,Various,Theodor Springmann Stiftung,not provided,XML,yes,no,no,yes,21.11115/0000-000C-914A-D,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1730,1788,Johann Georg Hamann,Counter-Enlightenment,"The correspondence of the ""Magus of the North,"" a philosopher who influenced Herder and Goethe with his critique of pure reason.",Correspondence # Philosophy # Theology # Language # Criticism,30.0,35.0
309,Long Nineteenth Century,1804-1872,Grundtvigs Vaerker (The complete works of N.F.S. Grundtvig),http://grundtvigsvaerker.dk,yes,yes,yes,DAN,Book; Articles,2010,2030,Katrine Froekjaer Baunvig,Aarhus University,Scholars; students; general public,yes,no,yes,yes,partly,yes,yes,no,no,no,DAN,no,yes,yes,yes,no,yes,no,no,no,no,no,no,Keyed,no,no,no,Danish research libraries,Denmark,Danish Government,"200,000,000 Kr",not provided,yes,no,no,no,21.11115/0000-000C-D898-5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1804,1872,N.F.S. Grundtvig,Danish History/Theology,"The massive collected works of Grundtvig, the pastor, poet, and politician who fundamentally shaped modern Danish national identity.",Theology # Poetry # Politics # Education # Hymn,35.0,55.0
