id,Edition name,Author Name (of Original Work),Philosophical/Artistic Direction,Content Description
331,Personen der Moderne Basis,Not specified (Various),Modern History,"A prosopographical database of people mentioned in the various digital editions of Austrian modernism (Schnitzler, Kraus, etc.)."
332,Hermann Bahr – Arthur Schnitzler: Briefwechsel,Bahr & Schnitzler,Viennese Modernism,"The correspondence between the critic Hermann Bahr and Arthur Schnitzler, debating the literary trends of the fin de siècle."
333,Inscriptions of Roman Tripolitania (2021),Not specified (Inscribers),Classical Epigraphy,"An updated 2021 release of the IRT corpus, incorporating new technologies and scholarship on the inscriptions of Libya."
334,"SAWS Kekaumenos, Consilia et Narrationes",Kekaumenos,Byzantine Literature,"An edition of the Strategikon of Kekaumenos, an 11th-century advice book for Byzantine aristocrats on warfare and family life."
335,SAWS Dynamic Library,Not specified (Various),Ancient Wisdom Literature,"A repository of gnomologies (collections of wise sayings) and wisdom literature in Greek and Arabic, exploring their transmission."
336,Die Urkunden und Akten des Klosters und des Oberamts Königsfelden,Not specified (Scribes),Swiss History,"A digital edition of the charters and administrative records of the Königsfelden Monastery, a Habsburg foundation."
337,MEGAdigital – Online-Abteilung der historisch-kritischen Gesamtausgabe von Karl Marx und Friedrich Engels,Marx & Engels,Political Philosophy,"The digital component of the MEGA project, presenting the complete works and letters of Marx and Engels with critical apparatus."
338,Auden Musulin Papers: A Digital Edition of W. H. Auden's Letters to Stella Musulin,W. H. Auden,Modern Poetry,"The correspondence between Auden and the writer Stella Musulin during his later years in Austria, revealing his domestic side."
339,Patristic Text Archive (PTA),Not specified (Church Fathers),Patristics,"An archive of critical editions of texts by the Church Fathers (e.g., Athanasius, Gregory of Nyssa), available for digital analysis."
340,Open Arabic Periodical Editions (OpenArabicPE),Not specified (Journalists),Arabic Intellectual History,"A project digitizing early Arabic periodicals from the late 19th and early 20th centuries, a key source for the Nahda (Awakening)."
341,Korespondencja Jana Lechonia i Kazimierza Wierzyńskiego,Lechoń & Wierzyński,Polish Literature,"The correspondence between two major Polish poets of the Skamander group, documenting their exile in America."
342,Korespondencja Mieczysława Grydzewskiego i Kazimierza i Haliny Wierzyńskich,Grydzewski & Wierzyński,Polish Literature,Letters exchanged between the editor of the influential London-based Polish journal Wiadomości and the poet Wierzyński.
343,Die Ministerratsprotokolle Österreichs und der österreichisch-ungarischen Monarchie 1848–1918,Not specified (Ministers),19th Century Politics,"The minutes of the Council of Ministers of the Habsburg Monarchy, the central executive body of the Austrian Empire."
344,Digital Scholarly Edition of Habsburg-Ottoman Diplomatic Sources 1500–1918,Not specified (Diplomats),Diplomatic History,A digital edition of sources documenting the diplomatic relations between the Habsburg Monarchy and the Ottoman Empire.
345,Familiensache? Die Korrespondenz der Kaiserin Eleonora Magdalena,Eleonora Magdalena,Early Modern History,"The correspondence of the Holy Roman Empress Eleonora Magdalena, offering insight into dynastic politics and court life."
346,Arthur Schnitzler: Mikroverfilmung des Cambridger Nachlasses,Arthur Schnitzler,Viennese Modernism,A digital release of the microfilm archive of Schnitzler's literary estate held at Cambridge University.
347,Renan Source,Ernest Renan,19th Century Intellectual History,"A scholarly platform dedicated to Ernest Renan, the French philologist and historian known for his controversial Life of Jesus."
348,The Mary Hamilton Papers (c. 1740 – c. 1850),Mary Hamilton,18th Century Literature,"The diaries and correspondence of Mary Hamilton, a Bluestocking and courtier who knew Dr. Johnson and Horace Walpole."
349,Bullinger Digital,Heinrich Bullinger,Reformation Theology,"The massive correspondence of the Zurich Reformer Heinrich Bullinger, a central figure in the European Reformation network."
350,Akademieprotokolle,Not specified (Academics),History of Science,"The minutes of the meetings of the Austrian Academy of Sciences, documenting the development of research in Austria."
351,Hanslick Online,Eduard Hanslick,Music Criticism,"A critical edition of the writings of the influential music critic Eduard Hanslick, champion of absolute music and opponent of Wagner."
352,Staribacher – Tagebücher,Josef Staribacher,Contemporary Politics,"The diaries of the long-serving Austrian Trade Minister Josef Staribacher, known for his role in the ""Kreisky Era."""
